Path,Title,PageViews,Freshness (report),LastReviewed (report),LastReviewed (file)
powerbi-docs/create-reports/service-quick-create-report.md,Create quick reports in the Power BI service - Power BI,1045.0,271-365 days,2024-11-26,
powerbi-docs/paginated-reports/report-builder-shared-datasets.md,Create a paginated report based on a Power BI shared dataset - Power BI,1044.0,> 365 days,2023-04-12,
powerbi-docs/guidance/gateway-onprem-sizing.md,On-premises data gateway sizing - Power BI,1028.0,271-365 days,2024-12-30,
powerbi-docs/natural-language/q-and-a-copilot-enhancements.md,Enhance Q&A with Copilot for Power BI - Power BI,1022.0,> 365 days,2024-04-10,
powerbi-docs/visuals/power-bi-visualization-column-charts.md,Create a column chart in Power BI - Power BI,1020.0,> 365 days,2024-09-23,
powerbi-docs/create-reports/service-dashboard-pin-live-tile-from-report.md,Pin an entire report page to a Power BI dashboard - Power BI,1017.0,> 365 days,2024-06-25,
powerbi-docs/visuals/power-bi-report-add-visualizations-i.md,Add visualizations to a Power BI report (part 1) - Power BI,1009.0,> 365 days,2023-07-15,
powerbi-docs/consumer/end-user-insight-types.md,Types of Insights supported by Power BI - Power BI,1007.0,271-365 days,2025-01-09,
powerbi-docs/guidance/powerbi-implementation-planning-content-lifecycle-management-develop-manage.md,Power BI implementation planning: Develop content and manage changes - Power BI,991.0,271-365 days,2024-12-30,
powerbi-docs/developer/embedded/configure-credentials.md,Configure credentials programmatically for Power BI embedded analytics - Power BI,986.0,> 365 days,2024-05-21,
powerbi-docs/paginated-reports/download-powerbi-report-builder.md,Download Power BI Report Builder - Power BI,985.0,271-365 days,2025-01-08,
powerbi-docs/guidance/auto-date-time.md,Auto date/time guidance in Power BI Desktop - Power BI,983.0,271-365 days,2024-12-30,
powerbi-docs/report-server/whats-new.md,What's new in Power BI Report Server - Power BI,973.0,> 365 days,2024-07-17,
powerbi-docs/create-reports/desktop-certificate-revocation.md,"Certificate revocation check, Power BI Desktop - Power BI",967.0,> 365 days,2023-03-06,
powerbi-docs/connect-data/service-gateway-sso-overview.md,Overview of single sign-on for on-premises data gateways - Power BI,951.0,> 365 days,2023-08-25,
